strain_name,lat,long,date
EPI179215,23,-102,2009-04-14
EPI179219,40.1670562,-74.4998748,2009-04-01
EPI179222,40.7142691,-74.0059729,2009-04-25
EPI179223,35.3732921,-119.0187125,2009-04-22
EPI179224,35.3732921,-119.0187125,2009-04-21
EPI179229,-36.85,174.7833333,2009-04-25
EPI179237,30.5,102.5,2009-05-10
EPI179251,39.0003906,-75.4999224,2009-04-28
EPI179257,13.8333333,-88.9166667,2009-04-27
EPI179262,42.0002654,-93.5004916,2009-04-24
EPI179268,39.1141708,-94.627457,2009-04-24
EPI179279,40.7142691,-74.0059729,2009-04-25
EPI179284,40.7142691,-74.0059729,2009-04-25
EPI179286,40.7142691,-74.0059729,2009-04-25
EPI179291,40.7142691,-74.0059729,2009-04-01
EPI179301,40.7142691,-74.0059729,2009-04-24
EPI179304,40.7142691,-74.0059729,2009-04-24
EPI179305,40.7142691,-74.0059729,2009-04-01
EPI179307,40.7142691,-74.0059729,2009-04-01
EPI179311,35.5006942,-80.0003243,2009-04-28
EPI179320,30.267153,-97.7430608,2009-04-24
EPI179322,30.267153,-97.7430608,2009-04-25
EPI179324,30.267153,-97.7430608,2009-04-26
EPI179327,38.8951118,-77.0363658,2009-04-28
EPI179330,38.8951118,-77.0363658,2009-04-26
EPI179332,38.8951118,-77.0363658,2009-07-02
EPI179364,13.75,100.5,2009-05-04
EPI179379,13.75,100.5,2009-05-05
EPI179384,52.28332893,-117.4690019,2009-07-02
EPI179390,40.8667653,-72.7995456,2009-04-27
EPI179406,42.2506137,-79.3997685,2009-04-27
EPI179422,40.8667653,-72.7995456,2009-05-01
EPI179437,35.7833333,140.3166667,2009-05-08
EPI179489,49,11.5,2009-05-01
EPI179490,53.55,10,2009-05-01
EPI179499,49.5,12,2009-04-29
EPI179509,38.8951118,-77.0363658,2009-04-29
EPI179510,38.8951118,-77.0363658,2009-04-27
EPI179514,32.7504171,-83.5001803,2009-04-27
EPI179530,46.2502448,-94.2505535,2009-04-01
EPI179551,40.7142691,-74.0059729,2009-04-24
EPI179560,35.4675602,-97.5164276,2009-04-29
EPI179561,44.0001313,-120.5013876,2009-04-29
EPI179562,44.0001313,-120.5013876,2009-04-28
EPI179568,30.267153,-97.7430608,2009-04-24
EPI179574,44.5002368,-90.0004077,2009-04-27
EPI179581,-30,-71,2009-05-18
EPI179585,-33.42628385,-70.56655884,2009-05-17
EPI179587,-30,-71,2009-05-18
EPI179593,36.1852778,117.12,2009-05-10
EPI179603,-36.85,174.7833333,2009-04-25
EPI180049,49.015,12.0955556,2009-05-01
EPI180050,53.55,10,2009-05-01
EPI180056,15,100,2009-05-06
EPI180067,35.7503468,-86.250271,2009-05-01
EPI180217,30.5,102.5,2009-05-10
EPI180235,64,26,2009-05-10
EPI180257,39.90749774,116.3972282,2009-05-15
EPI180270,36.1852778,117.12,2009-05-10
EPI180345,59.91324577,10.73892117,2009-05-07
EPI180362,40.7142691,-74.0059729,2009-05-01
EPI180370,40.7142691,-74.0059729,2009-05-01
EPI180378,40.700103,-73.7995781,2009-05-01
EPI180386,40.7142691,-74.0059729,2009-04-28
EPI180394,40.700103,-73.7995781,2009-04-25
EPI180426,40.700103,-73.7995781,2009-05-01
EPI180442,40.700103,-73.7995781,2009-04-28
EPI180450,40.700103,-73.7995781,2009-04-28
EPI180458,40.700103,-73.7995781,2009-04-28
EPI180466,40.700103,-73.7995781,2009-05-01
EPI180490,40.7506561,-73.582905,2009-05-01
EPI180498,40.700103,-73.7995781,2009-05-01
EPI180506,40.700103,-73.7995781,2009-05-01
EPI180514,40.7142691,-74.0059729,2009-04-27
EPI180522,40.700103,-73.7995781,2009-04-27
EPI180530,40.7142691,-74.0059729,2009-05-01
EPI180557,48.85341,2.3488,2009-04-29
EPI180562,48.85341,2.3488,2009-04-30
EPI180568,48.85341,2.3488,2009-04-30
EPI180574,30.267153,-97.7430608,2009-04-09
EPI180575,48.85341,2.3488,2009-05-01
EPI180584,34.5003037,-111.5009764,2009-04-26
EPI180586,34.5003037,-111.5009764,2009-04-26
EPI180589,34.5003037,-111.5009764,2009-04-27
EPI180592,35.3732921,-119.0187125,2009-04-24
EPI180594,38.8338816,-104.8213634,2009-04-27
EPI180596,38.8338816,-104.8213634,2009-04-26
EPI180599,39.0003906,-75.4999224,2009-04-28
EPI180602,44.5001999,-114.2511761,2009-04-28
EPI180605,23,-102,2009-04-03
EPI180607,41.5002828,-99.7506736,2009-04-01
EPI180610,40.7142691,-74.0059729,2009-04-24
EPI180613,40.7142691,-74.0059729,2009-04-01
EPI180615,40.7142691,-74.0059729,2009-04-25
EPI180618,35.4675602,-97.5164276,2009-04-28
EPI180622,34.0004338,-81.000091,2009-04-26
EPI180626,30.267153,-97.7430608,2009-04-14
EPI180629,23.36,116.6783333,2009-05-18
EPI180659,30.2552778,120.1688889,2009-05-23
EPI180667,26.545,117.8427778,2009-05-22
EPI180675,31.2222222,121.4580556,2009-05-23
EPI180683,39.90749774,116.3972282,2009-05-15
EPI180691,39.90749774,116.3972282,2009-05-20
EPI180703,40.700103,-73.7995781,2009-05-01
EPI180714,35.6853569,139.753089,2009-05-17
EPI180715,35.6853569,139.753089,2009-05-17
EPI180716,35.6853569,139.753089,2009-05-01
EPI180717,35.6853569,139.753089,2009-05-16
EPI180718,35.6853569,139.753089,2009-05-16
EPI180719,35.6853569,139.753089,2009-05-16
EPI180720,35.6853569,139.753089,2009-05-17
EPI180723,55.7522222,37.6155556,2009-05-01
EPI180747,59.5,8.6666667,2009-05-08
EPI180755,19.4341667,-99.1386111,2009-04-25
EPI180963,40.700103,-73.7995781,2009-04-26
EPI180971,40.700103,-73.7995781,2009-04-26
EPI180979,40.700103,-73.7995781,2009-04-26
EPI180987,40.700103,-73.7995781,2009-05-02
EPI180995,42.6334091,-75.0162701,2009-04-27
EPI181003,40.700103,-73.7995781,2009-04-28
EPI181011,40.7142691,-74.0059729,2009-04-26
EPI181019,40.7142691,-74.0059729,2009-04-28
EPI181030,40.7142691,-74.0059729,2009-04-30
EPI181038,40.700103,-73.7995781,2009-05-01
EPI181043,40.7142691,-74.0059729,2009-04-30
EPI181057,40.7142691,-74.0059729,2009-05-01
EPI181060,40.700103,-73.7995781,2009-05-01
EPI181068,40.700103,-73.7995781,2009-05-01
EPI181076,40.700103,-73.7995781,2009-05-01
EPI181084,40.700103,-73.7995781,2009-05-01
EPI181092,40.7506561,-73.582905,2009-05-01
EPI181100,40.700103,-73.7995781,2009-05-01
EPI181117,40.700103,-73.7995781,2009-05-01
EPI181125,40.7142691,-74.0059729,2009-04-29
EPI181133,40.7142691,-74.0059729,2009-04-29
EPI181141,40.7142691,-74.0059729,2009-04-29
EPI181143,40.700103,-73.7995781,2009-04-28
EPI181151,40.700103,-73.7995781,2009-04-25
EPI181159,40.700103,-73.7995781,2009-05-01
EPI181167,40.700103,-73.7995781,2009-07-02
EPI181175,39.90749774,116.3972282,2009-07-02
EPI181276,23.36,116.6783333,2009-05-29
EPI181318,30.2552778,120.1688889,2009-05-23
EPI181326,31.2222222,121.4580556,2009-05-23
EPI181334,26.545,117.8427778,2009-05-22
EPI181342,39.90749774,116.3972282,2009-05-15
EPI181350,39.90749774,116.3972282,2009-05-20
EPI181355,59.5,18,2009-05-08
EPI181363,53.48094643,-2.237434387,2009-04-30
EPI181371,51.45,-2.5833333,2009-04-30
EPI181377,22.25,114.1666667,2009-04-30
EPI181669,40.7142691,-74.0059729,2009-04-28
EPI181677,40.7142691,-74.0059729,2009-04-28
EPI181685,40.7142691,-74.0059729,2009-04-29
EPI181693,40.7142691,-74.0059729,2009-04-26
EPI181701,40.7142691,-74.0059729,2009-05-01
EPI181709,40.7142691,-74.0059729,2009-04-28
EPI181717,40.7142691,-74.0059729,2009-04-29
EPI181725,40.700103,-73.7995781,2009-04-28
EPI181733,45.464167,9.189444,2009-05-21
EPI181739,4,-72,2009-05-02
EPI181744,10,-84,2009-04-28
EPI181748,44.0003417,-72.7498308,2009-05-04
EPI181751,34.0004338,-81.000091,2009-04-26
EPI181756,40.0003204,-89.2503681,2009-04-24
EPI181762,41.7503782,-71.4997825,2009-04-28
EPI181766,47.500274,-100.0006798,2009-05-11
EPI181770,38.20041778,-84.87762451,2009-04-30
EPI181774,40.7142691,-74.0059729,2009-04-25
EPI181778,40.7142691,-74.0059729,2009-04-24
EPI181785,44.5002605,-100.2506864,2009-05-05
EPI181788,40.2503398,-83.0001841,2009-05-05
EPI181791,30.267153,-97.7430608,2009-04-29
EPI181794,31.000467,-92.0003987,2009-05-01
EPI181797,31.000467,-92.0003987,2009-04-30
EPI181800,38.2503112,-92.5004614,2009-05-04
EPI181803,38.2503112,-92.5004614,2009-05-01
EPI181806,44.5002368,-90.0004077,2009-05-04
EPI181809,40.7142691,-74.0059729,2009-04-25
EPI181812,40.7142691,-74.0059729,2009-04-25
EPI181815,30.267153,-97.7430608,2009-04-23
EPI181818,40.2503398,-83.0001841,2009-04-30
EPI181820,44.5002605,-100.2506864,2009-04-30
EPI181822,44.5002368,-90.0004077,2009-05-04
EPI181824,40.7142691,-74.0059729,2009-04-25
EPI181827,30.267153,-97.7430608,2009-04-24
EPI181829,30.267153,-97.7430608,2009-04-23
EPI181831,34.5003037,-111.5009764,2009-04-28
EPI181833,39.0003906,-75.4999224,2009-04-28
EPI181835,40.7142691,-74.0059729,2009-04-25
EPI181836,35.3732921,-119.0187125,2009-04-25
EPI181840,38.8951118,-77.0363658,2009-04-27
EPI181841,35.3732921,-119.0187125,2009-04-21
EPI181843,35.3732921,-119.0187125,2009-05-09
EPI181845,39.90749774,116.3972282,2009-05-23
EPI181853,23.36,116.6783333,2009-05-27
EPI181861,-37.81399656,144.9633229,2009-05-21
EPI181863,-37.81399656,144.9633229,2009-05-19
EPI181865,-31.9333333,115.8333333,2009-05-26
EPI181867,-20,134,2009-05-29
EPI181869,13,122,2009-05-20
EPI181871,13,122,2009-05-25
EPI181872,13,122,2009-05-25
EPI181873,13,122,2009-05-23
EPI181878,48.85341,2.3488,2009-05-01
EPI181882,48.85341,2.3488,2009-05-11
EPI182196,23.36,116.6783333,2009-05-27
EPI182204,39.90749774,116.3972282,2009-05-23
EPI182209,40.8667653,-72.7995456,2009-04-29
EPI182217,40.7142691,-74.0059729,2009-04-28
EPI182225,40.7506561,-73.582905,2009-04-28
EPI182233,40.7142691,-74.0059729,2009-04-28
EPI182241,40.8667653,-72.7995456,2009-04-27
EPI182249,40.700103,-73.7995781,2009-04-27
EPI182257,40.700103,-73.7995781,2009-04-26
EPI182271,55.7522222,37.6155556,2009-05-21
EPI182280,-23.5475,-46.63611111,2009-04-29
EPI182282,55.7522222,37.6155556,2009-05-01
EPI182416,23.36,116.6783333,2009-05-29
EPI182422,42.8333333,12.8333333,2009-05-03
EPI182533,31.2222222,121.4580556,2009-05-31
EPI182541,31.2222222,121.4580556,2009-05-31
EPI182549,45.712397,11.357391,2009-06-03
EPI182558,45.522195,11.707702,2009-06-02
EPI182561,-34.9333333,138.6,2009-05-01
EPI182593,31.2222222,121.4580556,2009-05-31
EPI182600,54.5358333,36.2705556,2009-05-22
EPI182603,55.7522222,37.6155556,2009-05-26
EPI182604,55.752222,37.615556,2009-05-26
EPI182674,40.7142691,-74.0059729,2009-05-01
EPI182682,40.7142691,-74.0059729,2009-05-01
EPI182689,40.700103,-73.7995781,2009-04-25
EPI182697,40.700103,-73.7995781,2009-04-24
EPI182705,40.700103,-73.7995781,2009-04-28
EPI182713,40.7506561,-73.582905,2009-04-27
EPI182721,40.700103,-73.7995781,2009-04-28
EPI182729,40.7142691,-74.0059729,2009-04-28
EPI182737,40.700103,-73.7995781,2009-04-28
EPI182745,40.7142691,-74.0059729,2009-05-02
EPI182753,40.700103,-73.7995781,2009-04-26
EPI182761,40.7506561,-73.582905,2009-04-25
EPI182769,40.8667653,-72.7995456,2009-04-30
EPI182777,40.700103,-73.7995781,2009-05-01
EPI182785,40.82731951,-73.92356873,2009-05-01
EPI182793,43.0481221,-76.1474244,2009-05-04
EPI182859,32.0616667,118.7777778,2009-06-15
EPI182860,35.6853569,139.753089,2009-05-18
EPI182863,35.6853569,139.753089,2009-05-21
EPI182865,35.25,136,2009-05-22
EPI182885,35.6853569,139.753089,2009-05-21
EPI182904,23.36,116.6783333,2009-05-18
EPI182905,51.833333,-0.25,2009-05-09
EPI182963,32.0616667,118.7777778,2009-06-18
EPI182977,35.3732921,-119.0187125,2009-04-01
EPI182994,64,26,2009-05-26
EPI182999,64,26,2009-05-28
EPI183007,42.8333333,12.8333333,2009-05-27
EPI183011,35.685278,139.753056,2009-06-07
EPI183013,35.25,136,2009-05-19
EPI183015,35.25,136,2009-06-06
EPI183017,35.6853569,139.753089,2009-06-02
EPI183019,35.6853569,139.753089,2009-06-09
EPI183060,26.545,117.8427778,2009-05-28
EPI183077,55.7522222,37.6155556,2009-05-01
EPI183104,34.5003037,-111.5009764,2009-05-19
EPI183107,34.5003037,-111.5009764,2009-05-19
EPI183113,34.7503697,-92.5004364,2009-05-07
EPI183121,60,-96,2009-04-24
EPI183124,4,-72,2009-05-04
EPI183131,13.8333333,-88.9166667,2009-05-13
EPI183134,54,-4,2009-04-28
EPI183139,28.7505408,-82.5000976,2009-05-01
EPI183144,28.7505408,-82.5000976,2009-04-30
EPI183156,40.0003204,-89.2503681,2009-05-23
EPI183160,38.20041778,-84.87762451,2009-05-01
EPI183166,38.20041778,-84.87762451,2009-05-01
EPI183171,31.000467,-92.0003987,2009-05-01
EPI183174,45.5003249,-69.2497714,2009-05-09
EPI183177,42.365647,-71.10832214,2009-05-01
EPI183202,23,-102,2009-04-14
EPI183209,44.2502852,-85.500333,2009-05-01
EPI183233,13.75,100.5,2009-05-04
EPI183241,9,-80,2009-05-11
EPI183250,-22.9933333,-57.9963889,2009-05-20
EPI183254,41.7503782,-71.4997825,2009-04-30
EPI183267,30.267153,-97.7430608,2009-05-12
EPI183271,30.267153,-97.7430608,2009-05-12
EPI183276,39.2502391,-111.7510337,2009-05-01
EPI183285,38.8951118,-77.0363658,2009-05-07
EPI183289,38.5003838,-80.5000866,2009-05-24
EPI183301,19,-70.6666667,2009-04-30
EPI183304,35.3732921,-119.0187125,2009-04-30
EPI183311,51.9225,4.479167,2009-04-29
EPI183313,52.5,5.75,2009-05-01
EPI183317,30.267153,-97.7430608,2009-05-11
EPI183340,31.2222222,121.4580556,2009-05-24
EPI183358,48.5,7.5,2009-05-06
EPI183365,48.5,7.5,2009-05-06
EPI183370,48.85341,2.3488,2009-05-17
EPI183376,48.85341,2.3488,2009-05-22
EPI183382,48.0833333,-1.6833333,2009-05-23
EPI183386,48.85341,2.3488,2009-06-02
EPI183393,49.18108624,-0.371217728,2009-06-02
EPI183399,48.85341,2.3488,2009-06-02
EPI183643,30.2552778,120.1688889,2009-05-31
EPI183678,31.2222222,121.4580556,2009-05-24
EPI183729,40.7142691,-74.0059729,2009-04-29
EPI183738,40.700103,-73.7995781,2009-04-26
EPI183746,40.7142691,-74.0059729,2009-05-01
EPI183770,43.0481221,-76.1474244,2009-05-08
EPI183786,40.7506561,-73.582905,2009-05-04
EPI183802,41.1667617,-74.0495861,2009-05-17
EPI183810,40.9312099,-73.8987469,2009-05-02
EPI183818,40.700103,-73.7995781,2009-05-06
EPI183826,40.6501038,-73.9495823,2009-05-06
EPI183834,40.82731951,-73.92356873,2009-04-28
EPI184068,55.7522222,37.6155556,2009-06-03
EPI184237,34.9666667,138.3833333,2009-05-01
EPI184284,49.6116667,6.13,2009-06-01
EPI184301,23,-102,2009-04-15
EPI184307,44.2502852,-85.500333,2009-04-24
EPI184319,30.267153,-97.7430608,2009-04-26
EPI184325,46.2502448,-94.2505535,2009-04-27
EPI184326,40.2503398,-83.0001841,2009-04-27
EPI184332,38.8951118,-77.0363658,2009-04-27
EPI184335,44.5002368,-90.0004077,2009-04-27
EPI184337,39.0003906,-75.4999224,2009-04-28
EPI184340,39.0003906,-75.4999224,2009-04-28
EPI184346,40.27245344,-76.90567017,2009-04-28
EPI184350,40.0003166,-86.2502707,2009-04-29
EPI184353,31.000467,-92.0003987,2009-04-29
EPI184357,39.2502081,-116.7511911,2009-04-29
EPI184362,30.267153,-97.7430608,2009-04-29
EPI184365,21.3069444,-157.8583333,2009-04-30
EPI184369,40.27245344,-76.90567017,2009-04-30
EPI184373,35.4675602,-97.5164276,2009-05-01
EPI184378,44.5002368,-90.0004077,2009-05-07
EPI184380,40.7142691,-74.0059729,2009-05-08
EPI184383,40.7142691,-74.0059729,2009-05-23
EPI184385,41.7503782,-71.4997825,2009-06-01
EPI184390,-22.9933333,-57.9963889,2009-06-02
EPI184393,40.1670562,-74.4998748,2009-05-01
EPI184517,1.3666667,103.8,2009-06-02
EPI184541,1.3666667,103.8,2009-06-15
EPI184542,1.3666667,103.8,2009-06-15
EPI184543,1.3666667,103.8,2009-06-15
EPI184646,39.90749774,116.3972282,2009-05-20
EPI184656,42.8333333,12.8333333,2009-06-14
EPI184664,43.7666667,11.25,2009-06-06
EPI184673,19,-70.6666667,2009-05-24
EPI184801,-23.5475,-46.63611111,2009-06-01
EPI184853,59.5,18,2009-05-29
EPI184860,59.5,18,2009-05-30
EPI184865,62,15,2009-06-01
EPI184917,30.2552778,120.1688889,2009-06-01
EPI184924,-41.75,-73,2009-06-19
EPI184926,40,140.5,2009-06-11
EPI184934,35.6853569,139.753089,2009-06-23
EPI184942,39.7,141.15,2009-06-09
EPI184944,39.7,141.15,2009-06-18
EPI184952,31.6,130.55,2009-06-13
EPI184960,35.6853569,139.753089,2009-05-01
EPI184962,35.6853569,139.753089,2009-06-11
EPI184971,35.6853569,139.753089,2009-06-16
EPI185056,31.5,34.75,2009-05-01
EPI185061,31.5,34.75,2009-05-01
EPI185064,31.5,34.75,2009-05-01
EPI185071,19,-70.6666667,2009-05-24
EPI186128,49.25013563,-84.49983432,2009-05-26
EPI186226,1.3666667,103.8,2009-06-30
EPI186231,55.7522222,37.6155556,2009-07-09
EPI186238,42.8333333,12.8333333,2009-06-17
EPI186247,35.6853569,139.753089,2009-06-07
EPI186250,39.2502391,-111.7510337,2009-06-05
EPI186253,-30,-71,2009-06-01
EPI186255,-30,-71,2009-06-08
EPI186257,-30,-71,2009-06-05
EPI186259,-30,-71,2009-06-05
EPI186261,-30,-71,2009-06-05
EPI186263,-30,-71,2009-06-08
EPI186266,18.25,-77.5,2009-06-06
EPI186269,32.3333333,-64.75,2009-06-03
EPI186271,13.1666667,-59.5333333,2009-06-17
EPI186300,11,-61,2009-05-01
EPI186324,35.6853569,139.753089,2009-05-01
EPI186399,53.48094643,-2.237434387,2009-05-02
EPI186407,51.50841526,-0.125532746,2009-04-28
EPI186415,51.50841526,-0.125532746,2009-04-29
EPI186423,52.4666667,-1.9166667,2009-04-30
EPI186431,51.50841526,-0.125532746,2009-04-30
EPI186439,51.50841526,-0.125532746,2009-04-30
EPI186447,50.9,-1.4,2009-04-30
EPI186455,51.50841526,-0.125532746,2009-05-02
EPI186463,51.50841526,-0.125532746,2009-05-02
EPI186471,51.50841526,-0.125532746,2009-05-02
EPI186479,52.2,0.1166667,2009-04-29
EPI186487,51.50841526,-0.125532746,2009-04-27
EPI186495,52.4666667,-1.9166667,2009-04-27
EPI186633,35.6853569,139.753089,2009-06-29
EPI186641,35.3732921,-119.0187125,2009-04-22
EPI186649,35.3732921,-119.0187125,2009-04-21
EPI186657,19,-70.6666667,2009-05-26
EPI186665,19,-70.6666667,2009-05-26
EPI186673,39.000388,-76.749969,2009-06-18
EPI186698,55.00019191,-97.00049444,2009-05-24
EPI186699,23,-102,2009-05-01
EPI186700,23,-102,2009-04-29
EPI186701,23,-102,2009-04-29
EPI186702,23,-102,2009-04-27
EPI186703,23,-102,2009-04-28
EPI186704,23,-102,2009-04-29
EPI186705,46.81227912,-71.21453762,2009-04-16
EPI186706,46.81227912,-71.21453762,2009-05-07
EPI186707,55.00019191,-97.00049444,2009-05-04
EPI186708,55.00019191,-97.00049444,2009-05-08
EPI186709,55.00019191,-97.00049444,2009-05-06
EPI186710,46.81227912,-71.21453762,2009-05-17
EPI186711,55.00019191,-97.00049444,2009-05-20
EPI186712,55.00019191,-97.00049444,2009-05-24
EPI186713,55.00019191,-97.00049444,2009-05-22
EPI186714,55.00019191,-97.00049444,2009-05-21
EPI186715,55.00019191,-97.00049444,2009-05-28
EPI186716,55.00019191,-97.00049444,2009-05-29
EPI186717,55.00019191,-97.00049444,2009-05-30
EPI186838,49.25013563,-84.49983432,2009-06-03
EPI187704,43.598164,13.510075,2009-06-08
EPI187705,43.598164,13.510075,2009-06-11
EPI187706,43.598164,13.510075,2009-07-01
EPI187708,43.598164,13.510075,2009-07-12
EPI187717,40.8667653,-72.7995456,2009-05-08
EPI187725,40.7506561,-73.582905,2009-05-14
EPI187733,40.7506561,-73.582905,2009-05-19
EPI187741,41.1667617,-74.0495861,2009-05-20
EPI187749,43.0481221,-76.1474244,2009-05-12
EPI187765,40.7506561,-73.582905,2009-05-04
EPI187773,40.9312099,-73.8987469,2009-05-12
EPI187781,40.7506561,-73.582905,2009-05-16
EPI188887,40.7506561,-73.582905,2009-05-04
EPI188911,40.7506561,-73.582905,2009-05-17
EPI188919,40.7506561,-73.582905,2009-05-16
EPI188927,40.7506561,-73.582905,2009-05-16
EPI188935,41.1667617,-74.0495861,2009-05-16
EPI188943,43.0481221,-76.1474244,2009-05-20
EPI188951,40.8667653,-72.7995456,2009-05-19
EPI188967,40.9312099,-73.8987469,2009-05-13
EPI188975,41.1667617,-74.0495861,2009-05-16
EPI188983,40.7506561,-73.582905,2009-05-12
EPI188991,40.8667653,-72.7995456,2009-05-17
EPI188999,58.5,82.5,2009-05-01
EPI189074,-34,-64,2009-06-17
EPI189076,-34,-64,2009-06-18
EPI189082,-34,-64,2009-06-18
EPI189085,-34,-64,2009-06-18
EPI189089,-17,-65,2009-05-25
EPI189092,35.3732921,-119.0187125,2009-06-15
EPI189095,35.3732921,-119.0187125,2009-05-01
EPI189098,-30,-71,2009-06-01
EPI189106,-30,-71,2009-05-18
EPI189109,-30,-71,2009-05-19
EPI189113,8,38,2009-06-25
EPI189123,1,38,2009-06-26
EPI189129,14.6666667,-61,2009-06-20
