strain_name,latitude,longitude,date
FY7_dog_Anhui_2004,32.91,115.82,04-01-01
FY8_dog_Anhui_2004,32.91,115.82,04-01-01
FY9_dog_Anhui_2004,32.91,115.82,04-01-01
FY10_dog_Anhui_2004,32.91,115.82,04-01-01
FY12_dog_Anhui_2005,32.91,115.82,05-01-01
FY13_dog_Anhui_2005,32.91,115.82,05-01-01
FY14_dog_Anhui_2005,32.91,115.82,05-01-01
FY15_dog_Anhui_2005,32.91,115.82,05-01-01
FY16_dog_Anhui_2005,32.91,115.82,05-01-01
JSS62_dog_Jiangsu_2005,34.6,119.14,05-01-01
JSL26_dog_Jiangsu_2005,34.6,119.14,05-01-01
JSL27_dog_Jiangsu_2005,34.6,119.14,05-01-01
JSL29_dog_Jiangsu_2005,34.6,119.14,05-01-01
LU_deer_Henan_1993,34.76,113.64,93-01-01
N11_dog_Guangxi_1997,22.12,107.08,97-01-01
NC_dog_Jiangxi_2004,28.66,115.92,04-01-01
QC_human_Hubei_2006,30.24,115.3,06-01-01
WH5_dog_Hubei_2005,30.88,114.36,05-01-01
J_human_Ningxia_1985,38.51,106.22,85-01-01
LH_dog_Zhejiang_2006,28.8,121.13,06-01-01
Nu_human_Ningxia_1986,38.51,106.22,86-01-01
Yue2_dog_Guangxi_1997,24.32,109.39,97-01-01
FS_dog_Guangxi_1998,24.55,107.05,98-01-01
WJ_dog_Anhui_1989,30.12,116.69,89-01-01
GX2_dog_Guangxi_1994,22.81,108.34,94-01-01
H69_dog_Anhui_1969,30.12,116.69,69-01-01
H_dog_Anhui_1989,31.89,117.47,89-01-01
SBH_human_Shanghai_1992,31.22,121.4,92-01-01
SBD_dog_Shanghai_1992,31.22,121.4,92-01-01
H89_dog_Anhui_1989,30.12,116.69,89-01-01
gk5_dog_Guizhou_2006,27.06,106.95,06-01-01
SH06_dog_Shanghai_2006,31.22,121.4,06-01-01
gg4_dog_Guizhou_2006,25.59,106.68,06-01-01
Yue1_dog_Guangxi_1997,24.32,109.39,97-01-01
CQ92_dog_Chonqqing_1992,29.5,106.5,92-01-01
FEIDONG_dog_Anhui_1989,31.89,117.47,89-01-01
GX4_dog_Guangxi_1994,22.81,108.34,94-01-01
He_dog_Anhui_1989,31.89,117.47,89-01-01
ZJCA1_dog_Zhejiang_2008,29.61,119.05,08-01-01
HeF_dog_Anhui_1989,31.89,117.47,89-01-01
ZJD1_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD2_dog_Zhejiang_2008,28.59,119.25,08-01-01
ZJD3_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD6_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD8_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD9_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD10_dog_Zhejiang_2008,28.46,119.48,08-01-01
ZJD11_dog_Zhejiang_2008,28.66,120.08,08-01-01
ZJF1_ferret_Zhejiang_2008,29.61,119.05,08-01-01
04030PHI_Philippines_2004,13.41,121.28,04-01-01
03007PHI_Philippines_2001,13.41,121.28,01-01-01
03006PHI_Philippines_2001,13.41,121.28,01-01-01
94280PHI_Philippines_1994,13.41,121.28,94-01-01
94273PHI_Philippines_1994,13.41,121.28,94-01-01
94270PHI_Philippines_1994,13.41,121.28,94-01-01
SKRRD9903YG_South_Korea_1999,38.15,128.07,99-01-01
SKRBV0404HC_South_Korea_2004,38.15,128.07,04-01-01
SKRBV0403CW_South_Korea_2004,38.15,128.07,04-01-01
SKRRD0205HC_South_Korea_2002,38.15,128.07,02-01-01
SKRDG0203CW_South_Korea_2002,38.15,128.07,02-01-01
SKRRD9901PJ_South_Korea_1999,38.15,128.07,99-01-01
SKRDG9901GY_South_Korea_1999,38.15,128.07,99-01-01
SKRRD9902PJ_South_Korea_1999,38.15,128.07,99-01-01
SKRBV9801YC_South_Korea_1998,38.15,128.07,98-01-01
02006CBG_Cambodia_1998,12.76,104.94,98-01-01
9916CBG_Cambodia_1999,12.76,104.94,99-01-01
9914CBG_Cambodia_1997,12.76,104.94,97-01-01
9912CBG_Cambodia_1998,12.76,104.94,98-01-01
9911CBG_Cambodia_1998,12.76,104.94,98-01-01
9908CBG_Cambodia_1999,12.76,104.94,99-01-01
02001LAO_Laos_2002,19.84,102.54,02-01-01
9910LAO_Laos_1999,19.84,102.54,99-01-01
Mongolia3_Mongolia_2005,47.65,107.18,05-01-01
Mongolia4_Mongolia_2005,47.65,107.18,05-01-01
Mongolia7_Mongolia_2005,47.65,107.18,05-01-01
Mongolia6_Mongolia_2005,47.65,107.18,05-01-01
9915BIR_Myanmar_1999,21.04,96.83,99-01-01
9913BIR_Myanmar_1999,21.04,96.83,99-01-01
9901NEP_Nepal_1998,21.04,96.83,98-01-01
SRL1145_Sri_Lanka_1996,7.18,80.68,96-01-01
SRL1143_Sri_Lanka_1996,7.18,80.68,96-01-01
SRL1077_Sri_Lanka_1996,7.18,80.68,96-01-01
SRL1060_Sri_Lanka_1996,7.18,80.68,96-01-01
SRL1036_Sri_Lanka_1996,7.18,80.68,96-01-01
SRL1032_Sri_Lanka_1996,7.18,80.68,96-01-01
1294_Sri_Lanka_1986,7.18,80.68,86-01-01
8738THA_Thailand_1983,15.11,100.72,83-01-01
8743THA_Thailand_1983,15.11,100.72,83-01-01
8734THA_Thailand_1983,15.11,100.72,83-01-01
8764THA_Thailand_1983,15.11,100.72,83-01-01
9702INDI_India_1997,22.1,78.48,97-01-01
NNV_Human_India_2008,22.1,78.48,08-01-01
AF374721_India_2001,22.1,78.48,01-01-01
03003INDO_Indonesia_2003,1.406,121.28,03-01-01
04027AFG_Afghanistan_1996,32.9902,65.2148,96-01-01
