EPI172379,34.5,136.5,2009-01-07
EPI172386,35,132.5,2009-01-29
EPI172388,35,132.5,2009-01-06
EPI172389,35,138,2009-01-05
EPI172390,35,138,2009-01-05
EPI172391,35,138,2009-01-07
EPI172392,35,138,2009-01-07
EPI172393,35,138,2009-01-09
EPI172828,47,-120,2009-01-01
EPI179839,12.1,-86.3,2008-10-06
EPI183713,35,137.25,2008-12-05
EPI183714,35,137.25,2008-12-06
EPI183715,35,137.25,2008-12-19
EPI183716,35,137.25,2009-01-07
EPI183717,35,137.25,2009-01-13
EPI183718,35,137.25,2009-01-13
EPI183719,35,137.25,2009-01-19
EPI183720,35,137.25,2009-01-20
EPI183721,35,137.25,2009-01-22
EPI183722,35,137.25,2009-01-19
EPI183723,35,137.25,2009-01-26
EPI183724,35,137.25,2009-01-28
EPI183725,35,137.25,2009-01-29
EPI183726,35,137.25,2009-01-29
EPI183727,35,137.25,2009-01-29
EPI183728,35,137.25,2009-01-30
EPI184043,53.41,-3,2008-01-01
EPI184044,53.41,-3,2008-01-01
EPI184045,53.41,-3,2008-01-01
EPI184046,53.41,-3,2008-01-01
EPI184047,53.41,-3,2008-01-01
EPI184048,53.41,-3,2008-01-01
EPI184049,53.41,-3,2008-01-01
taxid505486,34,-112,2007-01-01
taxid505536,40,-89,2007-01-01
taxid505553,40,-75,2007-01-01
taxid505554,40,-75,2007-01-01
taxid511623,34,-112,2007-01-01
taxid511624,34,-112,2007-01-01
taxid511625,34,-112,2007-01-01
taxid511631,40,-86,2008-01-01
taxid511632,49,-76.83,2007-01-01
taxid511638,40,-75,2008-01-01
taxid511639,40,-75,2008-01-01
taxid511640,40,-75,2007-01-01
taxid511645,40.83,-76,2008-01-01
taxid511648,45,-90,2008-01-01
taxid518575,53,-2,2007-01-01
taxid525890,48.86,2.33,2008-01-01
taxid526904,45.76,4.83,2007-01-01
taxid526905,-33.91,151.16,2007-01-01
taxid529040,40,-89,2007-01-01
taxid529041,40,-89,2007-01-01
taxid529060,47,-120,2008-01-01
taxid530143,48.86,2.33,2008-01-01
taxid530144,48.86,2.33,2008-01-01
taxid530145,48.86,2.33,2008-01-01
taxid530150,48.86,2.33,2007-01-01
taxid530154,48.86,2.33,2007-01-01
taxid530157,48.86,2.33,2007-01-01
taxid530160,48.86,2.33,2007-01-01
taxid530162,48.86,2.33,2007-01-01
taxid530163,48.86,2.33,2007-01-01
taxid535863,35.13,-90.03,2008-01-01
taxid535867,40,-75,2008-01-01
taxid535869,35.5,-80,2008-01-01
taxid543389,49.75,6.16,2008-01-01
taxid544531,20,-157.83,2008-01-01
taxid544532,20,-157.83,2008-01-01
taxid544537,46,-94,2008-01-01
taxid547352,34,-80,2008-01-01
taxid551183,-33.93,18.46,2008-01-01
taxid551185,-26.16,28.03,2008-01-01
taxid551186,-26.16,28.03,2008-01-01
taxid551187,-26.16,28.03,2008-01-01
taxid551189,-26.16,28.03,2008-01-01
taxid551190,-26.16,28.03,2008-01-01
taxid551192,-26.16,28.03,2008-01-01
taxid551193,-26.16,28.03,2008-01-01
taxid551194,-26.16,28.03,2008-01-01
taxid557901,40.83,-76,2007-01-01
taxid564745,52.16,4.5,2008-01-01
taxid564746,52.16,4.5,2008-01-01
taxid564747,52.16,4.5,2008-01-01
taxid564809,56,10,2008-01-01
taxid564821,56,10,2007-01-01
taxid564833,56,10,2008-01-01
taxid568517,36,137.38,2008-01-01
taxid568518,36,137.38,2008-01-01
taxid568519,36,137.38,2008-01-01
taxid568799,64,26,2008-01-01
taxid569645,59.33,18.08,2007-01-01
taxid569675,38,23.73,2008-01-01
taxid569676,47.33,13.33,2008-01-01
taxid569678,50.83,4,2008-01-01
taxid569680,52.53,13.41,2008-01-01
taxid569682,44.43,26.1,2008-01-01
taxid569684,28,-15,2007-01-01
taxid569688,46.21,6.15,2008-01-01
taxid569693,50.43,30.51,2008-01-01
taxid569696,38.73,-9.13,2008-01-01
taxid569700,62,10,2007-01-01
taxid569703,44.8,10.31,2008-01-01
taxid569705,46.25,15.17,2008-01-01
taxid573791,53,-2,2008-01-01
taxid573887,52.5,5.75,2008-01-01
taxid580304,35.5,-80,2008-01-01
taxid582979,12.1,-86.3,2008-01-01
taxid583036,20,-157.83,2008-01-01
