strain_name,latitude,longitude
RS5361Re,-21.125,55.536
RS5362US,34.138,-118.034
RS5418Re,-21.125,55.536
RS5416Re,-21.125,55.536
RS5379Re,-21.125,55.536
RS5417Re,-21.125,55.536
RS5419Re,-21.125,55.536
RS5425Re,-21.125,55.536
RS5388Re,-21.125,55.536
RS5420Re,-21.125,55.536
RS5421Re,-21.125,55.536
RS5423Re,-21.125,55.536
RS5424Re,-21.125,55.536
RS5414Re,-21.125,55.536
RS5427Re,-21.125,55.536
RS5426Re,-21.125,55.536
RS5428Re,-21.125,55.536
RS5429Re,-21.125,55.536
RS5383Re,-21.125,55.536
RS5385Re,-21.125,55.536
RS5384Re,-21.125,55.536
RS5393Re,-21.125,55.536
RS5394Re,-21.125,55.536
RS5397Re,-21.125,55.536
RS5398Re,-21.125,55.536
RS5400Re,-21.125,55.536
RS5401Re,-21.125,55.536
RS5410Re,-21.125,55.536
RS5411Re,-21.125,55.536
RS5402Re,-21.125,55.536
RS5403Re,-21.125,55.536
RS5404Re,-21.125,55.536
RS5405Re,-21.125,55.536
RS5430Re,-21.125,55.536
RS5377Re,-21.125,55.536
RS5378Re,-21.125,55.536
RS5380Re,-21.125,55.536
RS5386Re,-21.125,55.536
RS5387Re,-21.125,55.536
RS5389Re,-21.125,55.536
RS5391Re,-21.125,55.536
RS5390Re,-21.125,55.536
RS5392Re,-21.125,55.536
RS5399Re,-21.125,55.536
RS5407Re,-21.125,55.536
RS5408Re,-21.125,55.536
RS5409Re,-21.125,55.536
RS5413Re,-21.125,55.536
RS5395Re,-21.125,55.536
RS5415Re,-21.125,55.536
RS5396Re,-21.125,55.536
RS5406Re,-21.125,55.536
RS5422Re,-21.125,55.536
RS5412Re,-21.125,55.536
RS5431Re,-21.125,55.536
RS5382Re,-21.125,55.536
RS5484Ch,41.622,123.441
