strain_name,latitude,longitude
MTB_M4100A,36.448151,127.850166
MTB_MT0001_SRR057510,56.954681,-98.308968
MTB_MT0005_SRR057659,56.954681,-98.308968
MTB_N0002b4,12.54773,104.983856
MTB_N0003b4,15.97421,107.868042
MTB_N0005,0.10974,113.917397
MTB_N0010,0.10974,113.917397
MTB_N0014B12,15.59305,120.739067
MTB_N0020,46.860802,103.836807
MTB_N0034b4,36.894451,104.165649
MTB_N0039,18.20521,105.45118
MTB_N0041b4,15.97421,107.868042
MTB_N0043,19.257959,96.682999
MTB_N0044b4,1.29378,103.853256
MTB_N0046b4,23.62574,-101.956253
MTB_N0051b4,36.894451,104.165649
MTB_N0053b4,36.894451,104.165649
MTB_N0054,9.1473,40.49305
MTB_N0056,15.97421,107.868042
MTB_N0094b4,36.894451,104.165649
MTB_N0101,51.164181,10.45415
MTB_N0103mtb,12.86672,-85.424049
MTB_N0107b4,15.77625,-90.232307
MTB_N0109b4,13.79687,-88.918793
MTB_N0120,18.22328,-66.428886
MTB_N0126,4.11641,-72.958527
MTB_N0127b4,36.894451,104.165649
MTB_N0130b4,12.54773,104.983856
MTB_N0131,39.83,-98.58
MTB_N0132,15.59305,120.739067
MTB_N0134b4,15.59305,120.739067
MTB_N0135,39.83,-98.58
MTB_N0136b4,39.83,-98.58
MTB_N0137,23.62574,-101.956253
MTB_N0141b4,15.59305,120.739067
MTB_N0142,39.83,-98.58
MTB_N0143,39.83,-98.58
MTB_N0144,36.894451,104.165649
MTB_N0146b4,39.83,-98.58
MTB_N0148mtb,39.83,-98.58
MTB_N0149,39.83,-98.58
MTB_N0150,36.894451,104.165649
MTB_N0151b4,36.894451,104.165649
MTB_N0158,36.894451,104.165649
MTB_N0163,32.42065,53.682362
MTB_N0196,5.16158,46.200829
MTB_N0197,0,0
MTB_N04,21.7866,82.794762
MTB_N24,21.7866,82.794762
MTB_N37,30.441851,69.359703
MTB_N70,21.7866,82.794762
MTB_N72,21.7866,82.794762
MTB_N73,0.10974,113.917397
MTB_russia_ERR015614,59.461479,108.831779
MTB_russia_ERR015615,59.461479,108.831779
MTB_russia_ERR015616,59.461479,108.831779
MTB_SG1,21.7866,82.794762
