strain_name,latitude,longitude
ARIKARA,46.00,-101.00
ASSINIBOI,48.00,-106.00
BLACKFOOT,51.00,-112.00
BLOOD,51.00,-115.00
BUNGI,51.00,-100.00
HIDATSA,47.00,-101.00
KARANKAWA,29.00,-96.00
KIOWA,36.00,-99.00
PIEGAN,49.00,-115.00
PLAINSCRE,45.00,-94.00
SANTEE,45.00,-94.00
COAHUILTE,29.00,-99.00
OJIBWA,52.00,-94.00
WINNEBAGO,44.00,-88.00
OMAHA,41.00,-96.00
MIAMI,40.00,-86.00
WICHITA,34.00,-98.00
PAWNEE,42.00,-100.00
FOX,45.00,-95.00
HASINAI,31.00,-95.00
MENOMINI,46.00,-88.00
IOWA,41.00,-95.00
OTO,40.00,-95.00
PONCA,43.00,-99.00
SHAWNEE,37.00,-85.00
CADDO,33.00,-93.00
KICKAPOO,43.00,-90.00
HURON,44.00,-78.00
SEMINOLE,27.00,-81.00
CREEK,33.00,-84.00
PENOBSCOT,45.00,-68.00
CHEROKEE,36.00,-83.00
DELAWARE,41.00,-75.00
NATCHEZ,32.00,-91.00
TIMUCUA,27.00,-82.00
CATAWBA,35.00,-80.00
IROQUOIS,43.00,-77.00
YUCHI,35.00,-86.00
CHOCTAW,33.00,-88.00
ABNAKI,46.00,-70.00
CHICKASAW,35.00,-85.00
CHITIMACH,30.00,-90.00
CHIRICAHU,31.00,-108.00
HANO,36.00,-111.00
NAVAHO,37.00,-110.00
ZUNI,35.00,-109.00
MARICOPA,33.00,-113.00
TAOS,37.00,-106.00
COCHITI,36.00,-106.00
JEMEZ,36.00,-107.00
PICURIS,36.00,-106.00
ISLETA,35.00,-107.00
TEWA,36.00,-106.00
SANTAANA,35.00,-107.00
ACOMA,35.00,-108.00
LAGUNA,35.00,-107.00
MESCALERO,33.00,-103.00
JICARILLA,36.00,-104.00
W_APACHE,34.00,-110.00
HOPI,36.00,-111.00
COCOPA,32.00,-115.00
KAMIA,33.00,-115.00
MOHAVE,35.00,-114.00
YUMA,33.00,-114.00
KEWEYIPAY,34.00,-111.00
LIPAN,30.00,-100.00
SIA,36.00,-107.00
SANTACLAR,36.00,-106.00
SANTODOMI,36.00,-105.00
TARAHUMAR,28.00,-107.00
PAPAGO,31.00,-112.00
HUICHOL,23.00,-104.00
SERI,29.00,-112.00
CHICHIMEC,22.00,-100.00
PIMA,31.00,-111.00
YAQUI,28.00,-110.00
OPATA,30.00,-110.00
TEPEHUAN,27.00,-107.00
KOREANS,35.00,127.00
GILYAK,53.00,142.00
YAKUT,65.00,125.00
CHUKCHEE,66.00,177.00
